Supplier,start date,Location,Working days,Division,Vehicle Number,Vehicel Type, Rental , Rental (As per the Working days) , Pumped Fuel , Total KM , OT , Night Out , Excess milage , Excess milage Rate -02 , Excess Amout - 01 , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent Days ,Days (1),Days (2), Late Attendence-1 , Late Attendence-2 , Tempory hired vehicel charges , Fuel Pumped Amount , No pay rate=1 , No pay rate=2 , No pay Amount , Late Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,2025-01-01,A'pura,31,BTS Operation,PD-0518,24 hrs Passenger Van,"238,975.00","238,975.00","129,444.74","4,265.00",,,"1,765.00",70.75,"124,873.75", -   , -   ,"363,848.75","65,492.78","429,341.53", -   , -   ,, -   , -   , -   ,"129,444.74","7,708.87","7,708.87", -   , -   ,"-129,444.74","-23,300.05","-152,744.79","234,404.01","42,192.72","276,596.73"
Prime,2025-01-01,Ambalangoda,31,BTS Operation,PD-1184,4 X 4 Double cab,"221,000.00","221,000.00","109,443.62","3,517.85",230, -   ,"1,017.85",71.3,"72,572.71","20,700.00", -   ,"314,272.71","56,569.09","370,841.79", -   , -   ,, -   , -   , -   ,"109,443.62","7,129.03","7,129.03", -   , -   ,"-109,443.62","-19,699.85","-129,143.47","204,829.09","36,869.24","241,698.32"
Prime,2025-01-01,Katunayaka,31,BTS Operation,PD-1734,4 X 4 Double cab,"221,000.00","221,000.00","79,437.21","2,687.09",108, -   ,187.09,71.3,"13,339.52","9,720.00", -   ,"244,059.52","43,930.71","287,990.23",1,1,, -   , -   , -   ,"79,437.21","7,129.03","7,129.03","7,129.03", -   ,"-86,566.24","-15,581.92","-102,148.17","157,493.27","28,348.79","185,842.06"
Prime,2025-01-01,Polonnaruwa,31,BTS Operation,PD-4310,4 X 4 Double cab,"221,000.00","221,000.00", -   ,"2,882.00",157.5, -   ,382,71.3,"27,236.60","14,175.00", -   ,"262,411.60","47,234.09","309,645.69", -   , -   ,, -   , -   , -   , -   ,"7,129.03","7,129.03", -   , -   , -   , -   , -   ,"262,411.60","47,234.09","309,645.69"
Prime,2025-01-01,Kurunegala,31,Civil,PE-0852,Van Field Use,"140,216.66","140,216.66","85,760.48","2,550.00",25, -   ,50,55.36,"2,768.00","2,250.00", -   ,"145,234.66","26,142.24","171,376.90", -   , -   ,, -   , -   , -   ,"85,760.48","4,523.12","4,523.12", -   , -   ,"-85,760.48","-15,436.89","-101,197.37","59,474.18","10,705.35","70,179.53"
Prime,2025-01-01,Nittambuwa,31,BTS Operation,PE-2282,4 X 4 Double cab,"221,000.00","221,000.00","59,785.32","2,370.04",88, -   , -   ,71.3, -   ,"7,920.00", -   ,"228,920.00","41,205.60","270,125.60", -   , -   ,, -   , -   , -   ,"59,785.32","7,129.03","7,129.03", -   , -   ,"-59,785.32","-10,761.36","-70,546.68","169,134.68","30,444.24","199,578.92"
Prime,2025-01-01,Thanamalwila,31,BTS Operation,PE-4607,4 X 4 Double cab,"221,000.00","221,000.00", -   ,"2,524.00",22.5, -   ,24,71.3,"1,711.20","2,025.00", -   ,"224,736.20","40,452.52","265,188.72", -   , -   ,, -   , -   , -   , -   ,"7,129.03","7,129.03", -   , -   , -   , -   , -   ,"224,736.20","40,452.52","265,188.72"
Prime,2025-01-01,Galle,31,BTS Operation,PE-6334,4 X 4 Double cab,"221,000.00","221,000.00","79,442.22","2,514.00",32.5, -   ,14,71.3,998.2,"2,925.00", -   ,"224,923.20","40,486.18","265,409.38", -   , -   ,, -   , -   , -   ,"79,442.22","7,129.03","7,129.03", -   , -   ,"-79,442.22","-14,299.60","-93,741.82","145,480.98","26,186.58","171,667.56"
Prime,2025-01-01,Matara,31,RND,PE-9429,Passenger Van,"194,875.00","194,875.00","99,422.18","3,335.00",35, -   ,835,70.75,"59,076.25","3,150.00", -   ,"257,101.25","46,278.23","303,379.48", -   , -   ,, -   , -   , -   ,"99,422.18","6,286.29","6,286.29", -   , -   ,"-99,422.18","-17,895.99","-117,318.17","157,679.07","28,382.23","186,061.30"
Prime,2025-01-01,Kandy,31,Power,PF-0288,Passenger Van,"194,875.00","194,875.00","87,944.98","2,151.00",13.5, -   , -   ,70.75, -   ,"1,215.00", -   ,"196,090.00","35,296.20","231,386.20", -   , -   ,, -   , -   , -   ,"87,944.98","6,286.29","6,286.29", -   , -   ,"-87,944.98","-15,830.10","-103,775.08","108,145.02","19,466.10","127,611.12"
