Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amount , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent  , Temporary  hired vehicle charges , Penalty Amount , No pay rate , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Ambalangoda,31.00,BTS Operation,PB-5378,4 X 4 Double cab," 233,833.33 "," 233,833.33 "," 3,929.00 ", 153.50 , -   ," 1,429.00 ", 82.83 ," 118,364.07 "," 14,505.75 ", -   ," 366,703.15 "," 66,006.57 "," 432,709.72 ", -   , -   , -   ," 7,543.01 ",, -   , -   , -   ," 366,703.15 "," 66,006.57 "," 432,709.72 "
Prime,Ampara,31.00,BTS Operation,PF-2252,24 hrs Passenger Van," 263,247.08 "," 263,247.08 "," 4,965.00 ", -   , -   ," 2,465.00 ", 85.33 ," 210,338.45 ", -   , -   ," 473,585.53 "," 85,245.40 "," 558,830.93 ", -   , -   , -   ," 8,491.84 ",, -   , -   , -   ," 473,585.53 "," 85,245.40 "," 558,830.93 "
Prime,Ampara,31.00,Power,PC-4191,Passenger Van," 213,247.08 "," 213,247.08 "," 3,014.00 ", 36.50 , -   , 514.00 , 78.33 ," 40,261.62 "," 3,449.25 ", -   ," 256,957.95 "," 46,252.43 "," 303,210.38 ", -   , -   , -   ," 6,878.94 ",, -   , -   , -   ," 256,957.95 "," 46,252.43 "," 303,210.38 "
Prime,Ampara,31.00,Sites Acquisition,CAU-6726,Passenger Car," 142,500.00 "," 142,500.00 "," 4,797.00 ", 90.50 , -   ," 2,297.00 ", 54.60 ," 125,416.20 "," 8,552.25 ", -   ," 276,468.45 "," 49,764.32 "," 326,232.77 ", -   , -   , -   ," 4,596.77 ",, -   , -   , -   ," 276,468.45 "," 49,764.32 "," 326,232.77 "
Prime,A'pura,31.00,BTS Operation,PD-0518,24 hrs Passenger Van," 263,247.08 "," 263,247.08 "," 4,589.00 ", -   , -   ," 2,089.00 ", 85.33 ," 178,254.37 ", -   , -   ," 441,501.45 "," 79,470.26 "," 520,971.71 ", -   , -   , -   ," 8,491.84 ",, -   , -   , -   ," 441,501.45 "," 79,470.26 "," 520,971.71 "
Prime,A'pura,4.00,Civil,CBC-2132,Passenger Car," 117,600.00 "," 15,174.19 ", 388.00 , 6.00 , -   , -   , 54.60 , -   , 567.00 , -   ," 15,741.19 "," 2,833.41 "," 18,574.61 ", 5.00 , -   ," 10,000.00 "," 3,793.55 ",," (10,000.00)"," (1,800.00)"," (11,800.00)"," 5,741.19 "," 1,033.41 "," 6,774.61 "
Prime,A'pura,31.00,Projects,CBJ-5825,Passenger Car," 142,500.00 "," 142,500.00 "," 3,333.00 ", 74.00 , -   , 833.00 , 54.60 ," 45,481.80 "," 6,993.00 ", -   ," 194,974.80 "," 35,095.46 "," 230,070.26 ", -   , -   , -   ," 4,596.77 ",, -   , -   , -   ," 194,974.80 "," 35,095.46 "," 230,070.26 "
Prime,A'pura,31.00,RND,KT-4604,Van Field Use," 128,633.89 "," 128,633.89 "," 3,025.00 ", 66.50 , -   , 525.00 , 57.01 ," 29,930.25 "," 6,284.25 ", -   ," 164,848.39 "," 29,672.71 "," 194,521.10 ", -   , -   , -   ," 4,149.48 ",, -   , -   , -   ," 164,848.39 "," 29,672.71 "," 194,521.10 "
Prime,A'pura,31.00,Sites Acquisition,CBI-5082,Passenger Car," 142,500.00 "," 142,500.00 "," 3,715.00 ", 53.50 , -   ," 1,215.00 ", 54.60 ," 66,339.00 "," 5,055.75 ", -   ," 213,894.75 "," 38,501.06 "," 252,395.81 ", -   , -   , -   ," 4,596.77 ",, -   , -   , -   ," 213,894.75 "," 38,501.06 "," 252,395.81 "
Prime,A'pura,31.00,BTS Operation,PF-3301,4 X 4 Double cab," 233,833.33 "," 233,833.33 "," 2,984.94 ", 32.50 , -   , 484.94 , 82.83 ," 40,167.58 "," 3,071.25 ", -   ," 277,072.16 "," 49,872.99 "," 326,945.15 ", -   , -   , -   ," 7,543.01 ",, -   , -   , -   ," 277,072.16 "," 49,872.99 "," 326,945.15 "
