Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amount , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent  , Temporary  hired vehicle charges , Penalty Amount , No pay rate , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Ambalangoda,31.00,BTS Operation,PB-5378,4 X 4 Double cab," 227,166.67 "," 227,166.67 "," 4,307.00 ", 208.00 , -   ," 1,807.00 ", 80.17 ," 144,867.19 "," 19,262.88 ", -   ," 391,296.74 "," 70,433.41 "," 461,730.15 ", -   , -   , -   ," 7,327.96 ",, -   , -   , -   ," 391,296.74 "," 70,433.41 "," 461,730.15 "
Prime,Ampara,31.00,BTS Operation,PF-2252,24 hrs Passenger Van," 236,866.67 "," 236,866.67 "," 4,460.00 ", -   , -   ," 1,960.00 ", 72.17 ," 141,453.20 ", -   , -   ," 378,319.87 "," 68,097.58 "," 446,417.45 ", -   , -   , -   ," 7,640.86 ",, -   , -   , -   ," 378,319.87 "," 68,097.58 "," 446,417.45 "
Prime,Ampara,31.00,Power,PC-4191,Passenger Van," 180,166.67 "," 180,166.67 "," 2,914.00 ", 59.50 , -   , 414.00 , 72.17 ," 29,878.38 "," 5,341.91 ", -   ," 215,386.96 "," 38,769.65 "," 254,156.61 ", -   , -   , -   ," 5,811.83 ",, -   , -   , -   ," 215,386.96 "," 38,769.65 "," 254,156.61 "
Prime,Ampara,31.00,Sites Acquisition,CAU-6726,Passenger Car," 139,500.00 "," 139,500.00 "," 5,592.00 ", 110.00 , -   ," 3,092.00 ", 53.40 ," 165,112.80 "," 10,230.00 ", -   ," 314,842.80 "," 56,671.70 "," 371,514.50 ", -   , -   , -   ," 4,500.00 ",, -   , -   , -   ," 314,842.80 "," 56,671.70 "," 371,514.50 "
Prime,A'pura,31.00,BTS Operation,PD-0518,24 hrs Passenger Van," 236,866.67 "," 236,866.67 "," 5,721.00 ", -   , -   ," 3,221.00 ", 72.17 ," 232,459.57 ", -   , -   ," 469,326.24 "," 84,478.72 "," 553,804.96 ", -   , -   , -   ," 7,640.86 ",, -   , -   , -   ," 469,326.24 "," 84,478.72 "," 553,804.96 "
Prime,A'pura,31.00,Projects,CBJ-5825,Passenger Car," 139,500.00 "," 139,500.00 "," 2,930.00 ", 50.50 , -   , 430.00 , 53.40 ," 22,962.00 "," 4,696.50 ", -   ," 167,158.50 "," 30,088.53 "," 197,247.03 ", -   , -   , -   ," 4,500.00 ",, -   , -   , -   ," 167,158.50 "," 30,088.53 "," 197,247.03 "
Prime,A'pura,31.00,RND,KT-4604,Van Field Use," 125,300.00 "," 125,300.00 "," 2,011.00 ", 44.00 , 1.00 ,, 55.00 , -   ," 4,074.84 ", 400.00 ," 129,774.84 "," 23,359.47 "," 153,134.31 ", -   , -   , -   ," 4,041.94 ",, -   , -   , -   ," 129,774.84 "," 23,359.47 "," 153,134.31 "
Prime,A'pura,31.00,Civil,JG-8504,Passenger Car," 139,500.00 "," 139,500.00 "," 2,551.00 ", 28.00 , 3.00 , 51.00 , 53.40 ," 2,723.40 "," 2,604.00 "," 1,575.00 "," 146,402.40 "," 26,352.43 "," 172,754.83 ", -   , -   , -   ," 4,500.00 ",, -   , -   , -   ," 146,402.40 "," 26,352.43 "," 172,754.83 "
Prime,A'pura,31.00,Sites Acquisition,CBI-5082,Passenger Car," 139,500.00 "," 139,500.00 "," 2,951.00 ", 33.00 , -   , 451.00 , 53.40 ," 24,083.40 "," 3,069.00 ", -   ," 166,652.40 "," 29,997.43 "," 196,649.83 ", -   , -   , -   ," 4,500.00 ",, -   , -   , -   ," 166,652.40 "," 29,997.43 "," 196,649.83 "
Prime,A'pura,31.00,BTS Operation,PC-7852,4 X 4 Double cab," 227,166.67 "," 227,166.67 "," 3,745.00 ", 106.50 , -   ," 1,245.00 ", 80.17 ," 99,811.65 "," 9,862.97 ", -   ," 336,841.29 "," 60,631.43 "," 397,472.72 ", -   , -   , -   ," 7,327.96 ",, -   , -   , -   ," 336,841.29 "," 60,631.43 "," 397,472.72 "
Prime,A'pura,31.00,Power,PG-0415,Passenger Van," 180,166.67 "," 180,166.67 "," 2,185.00 ", 53.00 , -   ,, 72.17 , -   ," 4,758.34 ", -   ," 184,925.01 "," 33,286.50 "," 218,211.51 ", -   , -   , -   ," 5,811.83 ",, -   , -   , -   ," 184,925.01 "," 33,286.50 "," 218,211.51 "
Prime,A'pura,31.00,BTS Operation,PF-1928,Passenger Van," 180,166.67 "," 180,166.67 "," 3,879.00 ", 66.50 , -   ," 1,379.00 ", 72.17 ," 99,522.43 "," 5,970.37 ", -   ," 285,659.47 "," 51,418.70 "," 337,078.17 ", -   , -   , -   ," 5,811.83 ",, -   , -   , -   ," 285,659.47 "," 51,418.70 "," 337,078.17 "
Prime,Badulla,31.00,RND,PD-2507,Passenger Van," 180,166.67 "," 180,166.67 "," 2,146.00 ", 20.50 , -   ,, 72.17 , -   ," 1,840.49 ", -   ," 182,007.16 "," 32,761.29 "," 214,768.45 ", -   , -   , -   ," 5,811.83 ",, -   , -   , -   ," 182,007.16 "," 32,761.29 "," 214,768.45 "
Prime,Batticalo,30.00,RND,PI-1637,Van Field Use," 125,300.00 "," 121,258.06 "," 2,247.00 ", 80.00 , -   ,, 55.00 , -   ," 7,408.80 ", -   ," 128,666.86 "," 23,160.04 "," 151,826.90 ", 1.00 , -   ," 2,000.00 "," 4,041.94 ",," (2,000.00)", (360.00)," (2,360.00)"," 126,666.86 "," 22,800.04 "," 149,466.90 "
Prime,Chilaw,31.00,BTS Operation,PE-3785,Passenger Van," 180,166.67 "," 180,166.67 "," 2,382.00 ", 55.50 , -   ,, 72.17 , -   ," 4,982.79 ", -   ," 185,149.46 "," 33,326.90 "," 218,476.36 ", -   , -   , -   ," 5,811.83 ",, -   , -   , -   ," 185,149.46 "," 33,326.90 "," 218,476.36 "
Prime,Colombo,31.00,BTS Operation,PF-3955,Self-Driven 4 X 4 Double cab," 146,475.00 "," 146,475.00 "," 1,917.00 ", -   , -   ,, 51.45 , -   , -   , -   ," 146,475.00 "," 26,365.50 "," 172,840.50 ", -   , -   , -   ," 4,725.00 ",, -   , -   , -   ," 146,475.00 "," 26,365.50 "," 172,840.50 "
Prime,Galle,31.00,BTS Operation,PD-8263,4 X 4 Double cab," 227,166.67 "," 227,166.67 "," 2,602.00 ", 14.00 , -   , 102.00 , 80.17 ," 8,177.34 "," 1,296.54 ", -   ," 236,640.55 "," 42,595.30 "," 279,235.85 ", -   , -   , -   ," 7,327.96 ",, -   , -   , -   ," 236,640.55 "," 42,595.30 "," 279,235.85 "
Prime,Galle,31.00,Projects,CBA-9724,Passenger Car," 139,500.00 "," 139,500.00 "," 2,313.00 ", 70.50 , -   ,, 53.40 , -   ," 6,556.50 ", -   ," 146,056.50 "," 26,290.17 "," 172,346.67 ", -   , -   , -   ," 4,500.00 ",, -   , -   , -   ," 146,056.50 "," 26,290.17 "," 172,346.67 "
Prime,Galle,31.00,RND,CAO-5836,Passenger Car," 139,500.00 "," 139,500.00 "," 2,731.00 ", 20.00 , -   , 231.00 , 53.40 ," 12,335.40 "," 1,860.00 ", -   ," 153,695.40 "," 27,665.17 "," 181,360.57 ", -   , -   , -   ," 4,500.00 ",, -   , -   , -   ," 153,695.40 "," 27,665.17 "," 181,360.57 "
Prime,Homagama,31.00,BTS Operation,CBF-3501,Passenger Car," 122,100.00 "," 122,100.00 "," 1,570.00 ", 5.00 , -   , 70.00 , 53.40 ," 3,738.00 ", 465.00 , -   ," 126,303.00 "," 22,734.54 "," 149,037.54 ", -   , -   , -   ," 3,938.71 ",, -   , -   , -   ," 126,303.00 "," 22,734.54 "," 149,037.54 "
Shakya,Jaffna,29.00,BTS Operation,56-7935,Passenger Van," 125,810.00 "," 117,693.23 "," 3,796.00 ", 103.00 , -   ," 1,296.00 ", 64.00 ," 82,944.00 "," 9,247.34 ", -   ," 209,884.57 "," 37,779.22 "," 247,663.79 ", 2.00 , -   ," 4,000.00 "," 4,058.39 ",," (4,000.00)", (720.00)," (4,720.00)"," 205,884.57 "," 37,059.22 "," 242,943.79 "
Shakya,Jaffna,31.00,Sites Acquisition,PB-6807,Passenger Van," 168,580.00 "," 168,580.00 "," 3,967.00 ", 97.50 , -   ," 1,467.00 ", 64.00 ," 93,888.00 "," 8,753.55 ", -   ," 271,221.55 "," 48,819.88 "," 320,041.43 ", -   , -   , -   ," 5,438.06 ",, -   , -   , -   ," 271,221.55 "," 48,819.88 "," 320,041.43 "
Prime,kadawatha,31.00,BTS Operation,PA-2478,Passenger Van," 180,166.67 "," 180,166.67 "," 1,908.00 ", 34.00 , -   ,, 72.17 , -   ," 3,052.52 ", -   ," 183,219.19 "," 32,979.45 "," 216,198.64 ", -   , -   , -   ," 5,811.83 ",, -   , -   , -   ," 183,219.19 "," 32,979.45 "," 216,198.64 "
CS Tours,kadawatha,25.00,BTS Operation,PF-9818,Self-Driven 4 X 4 Double cab," 137,025.00 "," 110,504.03 "," 1,348.00 ", -   , -   ,, 51.45 , -   , -   , -   ," 110,504.03 "," 19,890.73 "," 130,394.76 ", -   , -   , -   ," 4,420.16 ",, -   , -   , -   ," 110,504.03 "," 19,890.73 "," 130,394.76 "
Prime,Kandy,31.00,BTS Operation,CAH-0556,Passenger Car," 139,500.00 "," 139,500.00 "," 2,787.00 ", 80.50 , -   , 287.00 , 53.40 ," 15,325.80 "," 7,486.50 ", -   ," 162,312.30 "," 29,216.21 "," 191,528.51 ", -   , -   , -   ," 4,500.00 ",, -   , -   , -   ," 162,312.30 "," 29,216.21 "," 191,528.51 "
Prime,Kandy,31.00,BTS Operation,PC-4249,4 X 4 Double cab," 227,166.67 "," 227,166.67 "," 3,154.18 ", 34.50 , -   , 654.18 , 80.17 ," 52,445.61 "," 3,195.05 ", -   ," 282,807.33 "," 50,905.32 "," 333,712.64 ", -   , -   , -   ," 7,327.96 ",, -   , -   , -   ," 282,807.33 "," 50,905.32 "," 333,712.64 "
Prime,Kandy,31.00,Sites Acquisition,CAC-5437,Van Field Use," 125,300.00 "," 125,300.00 "," 2,481.00 ", 41.00 , -   ,, 55.00 , -   ," 3,797.01 ", -   ," 129,097.01 "," 23,237.46 "," 152,334.47 ", -   , -   , -   ," 4,041.94 ",, -   , -   , -   ," 129,097.01 "," 23,237.46 "," 152,334.47 "
Prime,Kandy,31.00,RND,PI-3731,Van Field Use," 125,300.00 "," 125,300.00 "," 2,626.00 ", 72.00 , -   , 126.00 , 55.00 ," 6,930.00 "," 6,667.92 ", -   ," 138,897.92 "," 25,001.63 "," 163,899.55 ", -   , -   , -   ," 4,041.94 ",, -   , -   , -   ," 138,897.92 "," 25,001.63 "," 163,899.55 "
Prime,Kandy,31.00,Power,252-2977,Passenger Van," 134,500.00 "," 134,500.00 "," 2,049.00 ", 31.00 , -   ,, 64.00 , -   ," 2,783.18 ", -   ," 137,283.18 "," 24,710.97 "," 161,994.15 ", -   , -   , -   ," 4,338.71 ",, -   , -   , -   ," 137,283.18 "," 24,710.97 "," 161,994.15 "
Prime,Katunayaka,31.00,Projects,CAN-3782,Passenger Car," 139,500.00 "," 139,500.00 "," 2,042.00 ", 26.00 , -   ,, 53.40 , -   ," 2,418.00 ", -   ," 141,918.00 "," 25,545.24 "," 167,463.24 ", -   , -   , -   ," 4,500.00 ",, -   , -   , -   ," 141,918.00 "," 25,545.24 "," 167,463.24 "
