Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amount , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent  , Temporary  hired vehicle charges , Penalty Amount , No pay rate , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Ambalangoda,31.00,BTS Operation,PB-5378,4 X 4 Double cab," 230,500.00 "," 230,500.00 "," 3,543.00 ", 176.00 , -   ," 1,043.00 ", 81.50 ," 85,004.50 "," 16,299.36 ", -   ," 331,803.86 "," 59,724.69 "," 391,528.55 ", -   , -   , -   ," 7,435.48 ",, -   , -   , -   ," 331,803.86 "," 59,724.69 "," 391,528.55 "
Prime,Ampara,31.00,BTS Operation,PF-2252,24 hrs Passenger Van," 240,200.00 "," 240,200.00 "," 4,755.00 ", -   , -   ," 2,255.00 ", 73.50 ," 165,742.50 ", -   , -   ," 405,942.50 "," 73,069.65 "," 479,012.15 ", -   , -   , -   ," 7,748.39 ",, -   , -   , -   ," 405,942.50 "," 73,069.65 "," 479,012.15 "
Prime,Ampara,31.00,Power,PC-4191,Passenger Van," 183,500.00 "," 183,500.00 "," 3,062.00 ", 63.00 , -   , 562.00 , 73.50 ," 41,307.00 "," 5,656.14 ", -   ," 230,463.14 "," 41,483.37 "," 271,946.51 ", -   , -   , -   ," 5,919.35 ",, -   , -   , -   ," 230,463.14 "," 41,483.37 "," 271,946.51 "
Prime,Ampara,31.00,Sites Acquisition,CAU-6726,Passenger Car," 141,000.00 "," 141,000.00 "," 5,269.00 ", 98.00 , -   ," 2,769.00 ", 54.00 ," 149,526.00 "," 9,114.00 ", -   ," 299,640.00 "," 53,935.20 "," 353,575.20 ", -   , -   , -   ," 4,548.39 ",, -   , -   , -   ," 299,640.00 "," 53,935.20 "," 353,575.20 "
Prime,A'pura,31.00,BTS Operation,PD-0518,24 hrs Passenger Van," 240,200.00 "," 240,200.00 "," 4,353.55 ", -   , -   ," 1,853.55 ", 73.50 ," 136,235.93 ", -   , -   ," 376,435.93 "," 67,758.47 "," 444,194.39 ", -   , -   , -   ," 7,748.39 ",, -   , -   , -   ," 376,435.93 "," 67,758.47 "," 444,194.39 "
Prime,A'pura,31.00,Projects,CBJ-5825,Passenger Car," 141,000.00 "," 141,000.00 "," 2,422.00 ", 49.00 , -   , -   , 54.00 , -   ," 4,557.00 ", -   ," 145,557.00 "," 26,200.26 "," 171,757.26 ", -   , -   , -   ," 4,548.39 ",, -   , -   , -   ," 145,557.00 "," 26,200.26 "," 171,757.26 "
Prime,A'pura,31.00,RND,KT-4604,Van Field Use," 126,966.67 "," 126,966.67 "," 2,813.00 ", 78.00 , 3.00 , 313.00 , 55.67 ," 17,424.71 "," 7,223.58 "," 1,200.00 "," 152,814.96 "," 27,506.69 "," 180,321.65 ", -   , -   , -   ," 4,095.70 ",, -   , -   , -   ," 152,814.96 "," 27,506.69 "," 180,321.65 "
Prime,A'pura,31.00,Sites Acquisition,CBI-5082,Passenger Car," 141,000.00 "," 141,000.00 "," 2,916.00 ", 61.50 , -   , 416.00 , 54.00 ," 22,464.00 "," 5,719.50 ", -   ," 169,183.50 "," 30,453.03 "," 199,636.53 ", -   , -   , -   ," 4,548.39 ",, -   , -   , -   ," 169,183.50 "," 30,453.03 "," 199,636.53 "
Prime,A'pura,27.00,BTS Operation,PF-3301,4 X 4 Double cab," 230,500.00 "," 200,758.06 "," 2,149.35 ", 39.00 , -   , -   , 81.50 , -   ," 3,611.79 ", -   ," 204,369.85 "," 36,786.57 "," 241,156.43 ", 4.00 , -   ," 8,000.00 "," 7,435.48 ",," (8,000.00)"," (1,440.00)"," (9,440.00)"," 196,369.85 "," 35,346.57 "," 231,716.43 "
Prime,A'pura,31.00,Power,PG-0415,Passenger Van," 183,500.00 "," 183,500.00 "," 2,101.00 ", 51.50 , -   , -   , 73.50 , -   ," 4,623.67 ", -   ," 188,123.67 "," 33,862.26 "," 221,985.93 ", -   , -   , -   ," 5,919.35 ",, -   , -   , -   ," 188,123.67 "," 33,862.26 "," 221,985.93 "
