Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amount , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent  , Temporary  hired vehicle charges , Penalty Amount , No pay rate , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Ambalangoda,30.00,BTS Operation,PB-5378,4 X 4 Double cab," 227,166.67 "," 227,166.67 "," 4,083.00 ", 192.50 , -   ," 1,583.00 ", 80.17 ," 126,909.11 "," 17,827.43 ", -   ," 371,903.21 "," 66,942.58 "," 438,845.78 ", -   , -   , -   ," 7,572.22 ",, -   , -   , -   ," 371,903.21 "," 66,942.58 "," 438,845.78 "
Prime,Ampara,26.00,BTS Operation,PF-2252,24 hrs Passenger Van," 236,866.67 "," 205,284.45 "," 4,450.00 ",, -   ," 1,950.00 ", 72.17 ," 140,731.50 ", -   , -   ," 346,015.95 "," 62,282.87 "," 408,298.82 ", 4.00 , -   ," 8,000.00 "," 7,895.56 ",," (8,000.00)"," (1,440.00)"," (9,440.00)"," 338,015.95 "," 60,842.87 "," 398,858.82 "
Prime,Ampara,30.00,Power,PC-4191,Passenger Van," 180,166.67 "," 180,166.67 "," 2,987.00 ", 52.00 , -   , 487.00 , 72.17 ," 35,146.79 "," 4,668.56 ", -   ," 219,982.02 "," 39,596.76 "," 259,578.78 ", -   , -   , -   ," 6,005.56 ",, -   , -   , -   ," 219,982.02 "," 39,596.76 "," 259,578.78 "
Prime,Ampara,30.00,Sites Acquisition,CAU-6726,Passenger Car," 138,250.00 "," 138,250.00 "," 5,299.00 ", 109.00 , -   ," 2,799.00 ", 52.90 ," 148,067.10 "," 10,137.00 ", -   ," 296,454.10 "," 53,361.74 "," 349,815.84 ", -   , -   , -   ," 4,608.33 ",, -   , -   , -   ," 296,454.10 "," 53,361.74 "," 349,815.84 "
Prime,A'pura,30.00,BTS Operation,PD-0518,24 hrs Passenger Van," 236,866.67 "," 236,866.67 "," 4,729.00 ",, -   ," 2,229.00 ", 72.17 ," 160,866.93 ", -   , -   ," 397,733.60 "," 71,592.05 "," 469,325.65 ", -   , -   , -   ," 7,895.56 ",, -   , -   , -   ," 397,733.60 "," 71,592.05 "," 469,325.65 "
Prime,A'pura,30.00,Projects,CBJ-5825,Passenger Car," 138,250.00 "," 138,250.00 "," 2,270.00 ", 48.50 , 2.00 ,, 52.90 , -   ," 4,510.50 "," 1,050.00 "," 143,810.50 "," 25,885.89 "," 169,696.39 ", -   , -   , -   ," 4,608.33 ",, -   , -   , -   ," 143,810.50 "," 25,885.89 "," 169,696.39 "
Prime,A'pura,30.00,RND,KT-4604,Van Field Use," 123,911.11 "," 123,911.11 "," 2,107.00 ", 26.00 , -   ,, 54.44 , -   ," 2,407.86 ", -   ," 126,318.97 "," 22,737.41 "," 149,056.38 ", -   , -   , -   ," 4,130.37 ",, -   , -   , -   ," 126,318.97 "," 22,737.41 "," 149,056.38 "
Prime,A'pura,30.00,Civil,JG-8504,Passenger Car," 138,250.00 "," 138,250.00 "," 2,462.00 ", 49.00 , -   ,, 52.90 , -   ," 4,557.00 ", -   ," 142,807.00 "," 25,705.26 "," 168,512.26 ", -   , -   , -   ," 4,608.33 ",, -   , -   , -   ," 142,807.00 "," 25,705.26 "," 168,512.26 "
Prime,A'pura,30.00,Sites Acquisition,CBI-5082,Passenger Car," 138,250.00 "," 138,250.00 "," 2,918.00 ", 44.50 , 1.00 , 418.00 , 52.90 ," 22,112.20 "," 4,138.50 ", 525.00 ," 165,025.70 "," 29,704.63 "," 194,730.33 ", -   , -   , -   ," 4,608.33 ",, -   , -   , -   ," 165,025.70 "," 29,704.63 "," 194,730.33 "
Prime,A'pura,30.00,BTS Operation,PC-7852,4 X 4 Double cab," 227,166.67 "," 227,166.67 "," 2,746.00 ", 38.50 , -   , 246.00 , 80.17 ," 19,721.82 "," 3,565.49 ", -   ," 250,453.98 "," 45,081.72 "," 295,535.69 ", -   , -   , -   ," 7,572.22 ",, -   , -   , -   ," 250,453.98 "," 45,081.72 "," 295,535.69 "
Prime,A'pura,30.00,Power,PG-0415,Passenger Van," 180,166.67 "," 180,166.67 "," 2,858.00 ", 74.50 , -   , 358.00 , 72.17 ," 25,836.86 "," 6,688.61 ", -   ," 212,692.14 "," 38,284.59 "," 250,976.73 ", -   , -   , -   ," 6,005.56 ",, -   , -   , -   ," 212,692.14 "," 38,284.59 "," 250,976.73 "
Prime,A'pura,30.00,BTS Operation,PF-1928,Passenger Van," 180,166.67 "," 180,166.67 "," 3,239.00 ", 74.00 , -   , 739.00 , 72.17 ," 53,333.63 "," 6,643.72 ", -   ," 240,144.02 "," 43,225.92 "," 283,369.94 ", -   , -   , -   ," 6,005.56 ",, -   , -   , -   ," 240,144.02 "," 43,225.92 "," 283,369.94 "
Prime,Badulla,30.00,RND,PD-2507,Passenger Van," 154,500.00 "," 154,500.00 "," 1,718.00 ", 83.00 , -   , 218.00 , 72.17 ," 15,733.06 "," 7,451.74 ", -   ," 177,684.80 "," 31,983.26 "," 209,668.06 ", -   , -   , -   ," 5,150.00 ",, -   , -   , -   ," 177,684.80 "," 31,983.26 "," 209,668.06 "
