Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amount , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent  , Temporary  hired vehicle charges , Penalty Amount , No pay rate , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Ambalangoda,30.00,BTS Operation,PD-1184,4 X 4 Double cab," 233,000.00 "," 233,000.00 "," 3,785.11 ", 195.00 , -   ," 1,285.11 ", 82.50 ," 106,021.58 "," 18,427.50 ", -   ," 357,449.08 "," 64,340.83 "," 421,789.91 ", 1.00 , -   ," 2,000.00 "," 7,766.67 ",," (2,000.00)", (360.00)," (2,360.00)"," 355,449.08 "," 63,980.83 "," 419,429.91 "
Prime,Ampara,30.00,BTS Operation,PF-2252,24 hrs Passenger Van," 262,413.75 "," 262,413.75 "," 4,513.00 ",, -   ," 2,013.00 ", 85.00 ," 171,105.00 ", -   , -   ," 433,518.75 "," 78,033.38 "," 511,552.13 ", -   , -   , -   ," 8,747.13 ",, -   , -   , -   ," 433,518.75 "," 78,033.38 "," 511,552.13 "
Prime,Ampara,30.00,Sites Acquisition,GE-5882,Van Field Use," 126,967.22 "," 126,967.22 "," 2,124.00 ", 18.50 , -   ,, 56.35 , -   ," 1,748.25 ", -   ," 128,715.47 "," 23,168.78 "," 151,884.25 ", 4.00 , -   ," 8,000.00 "," 4,232.24 ",," (8,000.00)"," (1,440.00)"," (9,440.00)"," 120,715.47 "," 21,728.78 "," 142,444.25 "
Prime,Ampara,30.00,Power,PC-4191,Passenger Van," 212,413.75 "," 212,413.75 "," 2,743.00 ", 33.50 , -   , 243.00 , 78.00 ," 18,954.00 "," 3,165.75 ", -   ," 234,533.50 "," 42,216.03 "," 276,749.53 ", 1.00 , -   ," 2,000.00 "," 7,080.46 ",," (2,000.00)", (360.00)," (2,360.00)"," 232,533.50 "," 41,856.03 "," 274,389.53 "
Prime,A'pura,30.00,BTS Operation,PD-0518,24 hrs Passenger Van," 262,413.75 "," 262,413.75 "," 4,484.00 ",, -   ," 1,984.00 ", 85.00 ," 168,640.00 ", -   , -   ," 431,053.75 "," 77,589.68 "," 508,643.43 ", -   , -   , -   ," 8,747.13 ",, -   , -   , -   ," 431,053.75 "," 77,589.68 "," 508,643.43 "
Prime,A'pura,30.00,Civil,CBC-2132,Passenger Car," 141,000.00 "," 141,000.00 "," 2,998.00 ", 45.00 , -   , 498.00 , 54.00 ," 26,892.00 "," 4,252.50 ", -   ," 172,144.50 "," 30,986.01 "," 203,130.51 ", 1.00 , -   ," 2,000.00 "," 4,700.00 ",," (2,000.00)", (360.00)," (2,360.00)"," 170,144.50 "," 30,626.01 "," 200,770.51 "
Prime,A'pura,30.00,RND,KT-4604,Van Field Use," 126,967.22 "," 126,967.22 "," 4,162.00 ", 103.50 , -   ," 1,662.00 ", 56.35 ," 93,653.70 "," 9,780.75 ", -   ," 230,401.67 "," 41,472.30 "," 271,873.97 ", 1.00 , -   ," 2,000.00 "," 4,232.24 ",," (2,000.00)", (360.00)," (2,360.00)"," 228,401.67 "," 41,112.30 "," 269,513.97 "
Prime,A'pura,30.00,Sites Acquisition,CBI-5082,Passenger Car," 141,000.00 "," 141,000.00 "," 2,649.00 ", 17.00 , -   , 149.00 , 54.00 ," 8,046.00 "," 1,606.50 ", -   ," 150,652.50 "," 27,117.45 "," 177,769.95 ", -   , -   , -   ," 4,700.00 ",, -   , -   , -   ," 150,652.50 "," 27,117.45 "," 177,769.95 "
Prime,A'pura,28.00,BTS Operation,PF-3301,4 X 4 Double cab," 233,000.00 "," 217,466.67 "," 3,120.18 ", 67.00 , -   , 620.18 , 82.50 ," 51,164.85 "," 6,331.50 ", -   ," 274,963.02 "," 49,493.34 "," 324,456.36 ", -   , -   , -   ," 7,766.67 ",, -   , -   , -   ," 274,963.02 "," 49,493.34 "," 324,456.36 "
Prime,A'pura,30.00,Power,PG-0415,Passenger Van," 212,413.75 "," 212,413.75 "," 2,301.00 ", 56.50 , -   ,, 78.00 , -   ," 5,339.25 ", -   ," 217,753.00 "," 39,195.54 "," 256,948.54 ", -   , -   , -   ," 7,080.46 ",, -   , -   , -   ," 217,753.00 "," 39,195.54 "," 256,948.54 "
Prime,A'pura,30.00,BTS Operation,PF-1928,Passenger Van," 212,413.75 "," 212,413.75 "," 2,591.00 ", 31.50 , -   , 91.00 , 78.00 ," 7,098.00 "," 2,976.75 ", -   ," 222,488.50 "," 40,047.93 "," 262,536.43 ", -   , -   , -   ," 7,080.46 ",, -   , -   , -   ," 222,488.50 "," 40,047.93 "," 262,536.43 "
Prime,Badulla,30.00,Power,GZ-6345,Passenger Van," 161,955.94 "," 161,955.94 "," 2,506.00 ", 43.50 , -   , 6.00 , 59.55 , 357.30 ," 3,425.63 ", -   ," 165,738.87 "," 29,833.00 "," 195,571.86 ",,, -   ," 5,398.53 ",, -   , -   , -   ," 165,738.87 "," 29,833.00 "," 195,571.86 "
Prime,Batticalo,30.00,RND,PI-1637,Van Field Use," 126,967.22 "," 126,967.22 "," 1,829.00 ", 81.00 , -   ,, 56.35 , -   ," 7,654.50 ", -   ," 134,621.72 "," 24,231.91 "," 158,853.63 ", 1.00 , -   ," 2,000.00 "," 4,232.24 ",," (2,000.00)", (360.00)," (2,360.00)"," 132,621.72 "," 23,871.91 "," 156,493.63 "
Prime,Colombo,30.00,BTS Operation,PF-3955,Self-Driven 4 X 4 Double cab," 152,000.00 "," 152,000.00 "," 1,892.00 ", -   , -   ,, 57.75 , -   , -   , -   ," 152,000.00 "," 27,360.00 "," 179,360.00 ", -   , -   , -   ," 5,066.67 ",, -   , -   , -   ," 152,000.00 "," 27,360.00 "," 179,360.00 "
