Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amount , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent  , Temporary  hired vehicle charges , Penalty Amount , No pay rate , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Jaffna,30.00,BTS Operation,HJ-1100,Passenger Van," 209,080.42 "," 209,080.42 "," 3,837.00 ", 128.50 , -   ," 1,337.00 ", 76.67 ," 102,507.79 "," 12,143.25 ", -   ," 323,731.46 "," 58,271.66 "," 382,003.12 ", -   , -   , -   ," 6,969.35 ",, -   , -   , -   ," 323,731.46 "," 58,271.66 "," 382,003.12 "
Prime,Jaffna,12.00,Sites Acquisition,PB-6807,Passenger Van," 159,666.67 "," 63,866.67 ", 956.00 , 29.50 , -   , -   , 76.67 , -   ," 2,787.75 ", -   ," 66,654.42 "," 11,997.80 "," 78,652.21 ", -   , -   , -   ," 5,322.22 ",, -   , -   , -   ," 66,654.42 "," 11,997.80 "," 78,652.21 "
Prime,Jaffna,6.00,Sites Acquisition,251-2648,Passenger Van," 116,761.56 "," 23,352.31 "," 1,413.00 ", 18.00 , -   , -   , 58.22 , -   ," 1,417.50 ", -   ," 24,769.81 "," 4,458.57 "," 29,228.38 ", -   , -   , -   ," 3,892.05 ",, -   , -   , -   ," 24,769.81 "," 4,458.57 "," 29,228.38 "
Prime,kadawatha,30.00,BTS Operation,PA-2478,Passenger Van," 209,080.42 "," 209,080.42 "," 1,957.00 ", 42.50 , -   , -   , 76.67 , -   ," 4,016.25 ", -   ," 213,096.67 "," 38,357.40 "," 251,454.07 ", -   , -   , -   ," 6,969.35 ",, -   , -   , -   ," 213,096.67 "," 38,357.40 "," 251,454.07 "
Prime,kadawatha,30.00,BTS Operation,PF-9818,Self-Driven 4 X 4 Double cab," 142,000.00 "," 142,000.00 "," 1,554.00 ", -   , -   , 54.00 , 57.75 ," 3,118.50 ", -   , -   ," 145,118.50 "," 26,121.33 "," 171,239.83 ", -   , -   , -   ," 4,733.33 ",, -   , -   , -   ," 145,118.50 "," 26,121.33 "," 171,239.83 "
Prime,Kandy,30.00,BTS Operation,CAH-0556,Passenger Car," 139,500.00 "," 139,500.00 "," 2,373.00 ", 53.00 , -   , -   , 53.40 , -   ," 5,008.50 ", -   ," 144,508.50 "," 26,011.53 "," 170,520.03 ", -   , -   , -   ," 4,650.00 ",, -   , -   , -   ," 144,508.50 "," 26,011.53 "," 170,520.03 "
Prime,Kandy,30.00,BTS Operation,PB-3222,4 X 4 Double cab," 229,666.67 "," 229,666.67 "," 2,300.00 ", 41.00 , -   , -   , 81.17 , -   ," 3,874.50 ", -   ," 233,541.17 "," 42,037.41 "," 275,578.58 ", -   , -   , -   ," 7,655.56 ",, -   , -   , -   ," 233,541.17 "," 42,037.41 "," 275,578.58 "
Prime,Kandy,30.00,Sites Acquisition,CAC-5437,Van Field Use," 125,300.56 "," 125,300.56 "," 2,225.00 ", 20.50 , -   , -   , 55.68 , -   ," 1,937.25 ", -   ," 127,237.81 "," 22,902.81 "," 150,140.62 ", -   , -   , -   ," 4,176.69 ",, -   , -   , -   ," 127,237.81 "," 22,902.81 "," 150,140.62 "
Prime,Kandy,30.00,RND,PI-3731,Van Field Use," 125,300.56 "," 125,300.56 "," 2,150.00 ", 54.50 , -   , -   , 55.68 , -   ," 5,150.25 ", -   ," 130,450.81 "," 23,481.15 "," 153,931.96 ", -   , -   , -   ," 4,176.69 ",, -   , -   , -   ," 130,450.81 "," 23,481.15 "," 153,931.96 "
Prime,Kandy,8.00,RND,PJ-1477,Van Field Use," 104,853.33 "," 27,960.89 "," 1,657.00 ", 8.50 , -   , 157.00 , 55.68 ," 8,741.76 ", 803.25 , -   ," 37,505.90 "," 6,751.06 "," 44,256.96 ", -   , -   , -   ," 3,495.11 ",, -   , -   , -   ," 37,505.90 "," 6,751.06 "," 44,256.96 "
