Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Pumped Fuel , Total KM , OT , Night Out , Excess milage ,,, Excess milage Rate , Excess Amount - 01 , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT ,Days (1), Temper hired vehicle charges , Absent Penalty amount , Fuel Pumped Amount , No pay rate=1 , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Polonnaruwa,31.00,BTS Operation,PD-4310,4 X 4 Double cab," 233,000.00 "," 233,000.00 ", -   ," 3,563.00 ", 144.00 , -   ," 1,063.00 "," 2,500.00 ", 93.20 , 82.50 ," 87,697.500 "," 13,608.00 ", -   ," 334,305.50 "," 60,174.99 "," 394,480.49 ", -   , -   , -   , -   ," 7,516.13 ",, -   , -   , -   ," 334,305.50 "," 60,174.99 "," 394,480.49 "
Prime,Polonnaruwa,31.00,BTS Operation,PC-0387,Passenger Van," 212,413.75 "," 212,413.75 ", -   ," 3,204.00 ", 90.00 , -   , 704.00 ," 2,500.00 ", 84.97 , 78.00 ," 54,912.000 "," 8,505.00 ", -   ," 275,830.75 "," 49,649.54 "," 325,480.29 ", -   , -   , -   , -   ," 6,852.06 ",, -   , -   , -   ," 275,830.75 "," 49,649.54 "," 325,480.29 "
Prime,Rathnapura,31.00,BTS Operation,PG-4769,Self-Driven 4 X 4 Double cab," 152,000.00 "," 152,000.00 ", -   ," 4,782.00 ", -   , -   ," 2,282.00 "," 2,500.00 ", 60.80 , 57.75 ," 131,785.500 ", -   , -   ," 283,785.50 "," 51,081.39 "," 334,866.89 ", -   , -   , -   , -   ," 4,903.23 ",, -   , -   , -   ," 283,785.50 "," 51,081.39 "," 334,866.89 "
Prime,Rathnapura,31.00,RND,PJ-8253,Van Field Use," 129,745.00 "," 129,745.00 "," 35,822.37 "," 1,861.00 ", 35.50 , -   ,," 1,861.00 ", 69.72 , 57.46 , -   ," 3,354.75 ", -   ," 133,099.75 "," 23,957.96 "," 157,057.71 ", -   , -   , -   ," 35,822.37 "," 4,185.32 ",," (35,822.37)"," (6,448.03)"," (42,270.40)"," 97,277.38 "," 17,509.93 "," 114,787.31 "
Prime,Rathnapura,31.00,Sites Acquisition,CAY-8398,Passenger Car," 143,500.00 "," 143,500.00 "," 73,189.68 "," 3,106.00 ", 35.50 , -   , 606.00 ," 2,500.00 ", 57.40 , 55.00 ," 33,330.000 "," 3,354.75 ", -   ," 180,184.75 "," 32,433.26 "," 212,618.01 ", -   , -   , -   ," 73,189.68 "," 4,629.03 ",," (73,189.68)"," (13,174.14)"," (86,363.82)"," 106,995.07 "," 19,259.11 "," 126,254.18 "
Prime,Thanamalwila,31.00,BTS Operation,PC-9586,4 X 4 Double cab," 233,000.00 "," 233,000.00 ",," 2,402.12 ", 32.50 , -   ,," 2,402.12 ", 97.00 , 82.50 , -   ," 3,071.25 ", -   ," 236,071.25 "," 42,492.83 "," 278,564.08 ", 1.00 , -   ," 2,000.00 ", -   ," 7,516.13 ",," (2,000.00)", (360.00)," (2,360.00)"," 234,071.25 "," 42,132.83 "," 276,204.08 "
Prime,Welikada,16.00,Pool,PB-5250,4 X 4 Double cab," 233,000.00 "," 120,258.06 "," 59,442.24 "," 1,958.00 ", 34.00 , 3.00 ,," 1,958.00 ", 119.00 , 82.50 , -   ," 3,213.00 "," 1,575.00 "," 125,046.06 "," 22,508.29 "," 147,554.36 ", 1.00 , -   ," 2,000.00 "," 59,442.24 "," 7,516.13 ",," (61,442.24)"," (11,059.60)"," (72,501.84)"," 63,603.82 "," 11,448.69 "," 75,052.51 "
Prime,Welikada,31.00,Pool,CAU-8614,Passenger Car," 143,500.00 "," 143,500.00 ",," 4,653.00 ", 84.00 , 4.00 ," 2,153.00 "," 2,500.00 ", 57.40 , 55.00 ," 118,415.000 "," 7,938.00 "," 2,100.00 "," 271,953.00 "," 48,951.54 "," 320,904.54 ", -   , -   , -   , -   ," 4,629.03 ",, -   , -   , -   ," 271,953.00 "," 48,951.54 "," 320,904.54 "
Prime,Welikada,31.00,Pool,CAN-9699,Van Field Use," 129,745.00 "," 129,745.00 ",," 3,805.00 ", 98.50 , 1.00 ," 1,305.00 "," 2,500.00 ", 51.90 , 57.46 ," 74,985.300 "," 9,308.25 ", 525.00 ," 214,563.55 "," 38,621.44 "," 253,184.99 ", -   ," 17,905.00 ", -   , -   ," 4,185.32 ",," (17,905.00)"," (3,222.90)"," (21,127.90)"," 196,658.55 "," 35,398.54 "," 232,057.09 "
Prime,Welikada,31.00,Pool,CAQ-5544,Passenger Car," 143,500.00 "," 143,500.00 ",," 4,014.00 ", 79.00 , 3.00 ," 1,514.00 "," 2,500.00 ", 57.40 , 55.00 ," 83,270.000 "," 7,465.50 "," 1,575.00 "," 235,810.50 "," 42,445.89 "," 278,256.39 ", -   , -   , -   , -   ," 4,629.03 ",, -   , -   , -   ," 235,810.50 "," 42,445.89 "," 278,256.39 "
Prime,Welikada,31.00,Pool,CAS-9005,Passenger Car," 143,500.00 "," 143,500.00 ",," 3,723.00 ", 70.50 , 4.00 ," 1,223.00 "," 2,500.00 ", 57.40 , 55.00 ," 67,265.000 "," 6,662.25 "," 2,100.00 "," 219,527.25 "," 39,514.91 "," 259,042.16 ", 2.00 ," 17,239.00 "," 4,000.00 ", -   ," 4,629.03 ",," (21,239.00)"," (3,823.02)"," (25,062.02)"," 198,288.25 "," 35,691.89 "," 233,980.14 "
Prime,Welikada,31.00,Pool,PH-0505,Van Field Use," 129,745.00 "," 129,745.00 "," 68,890.62 "," 2,545.00 ", 15.50 , -   , 45.00 ," 2,500.00 ", 51.90 , 57.46 ," 2,585.700 "," 1,464.75 ", -   ," 133,795.45 "," 24,083.18 "," 157,878.63 ", -   ," 2,267.00 ", -   ," 68,890.62 "," 4,185.32 ",," (71,157.62)"," (12,808.37)"," (83,966.00)"," 62,637.83 "," 11,274.81 "," 73,912.64 "
Prime,Welikada,31.00,Pool,CAW-7120,Passenger Car," 143,500.00 "," 143,500.00 ",," 3,231.00 ", 63.50 , 6.00 , 731.00 ," 2,500.00 ", 57.40 , 55.00 ," 40,205.000 "," 6,000.75 "," 3,150.00 "," 192,855.75 "," 34,714.04 "," 227,569.79 ", 1.00 , -   ," 2,000.00 ", -   ," 4,629.03 ",," (2,000.00)", (360.00)," (2,360.00)"," 190,855.75 "," 34,354.04 "," 225,209.79 "
Prime,Welikada,31.00,Pool,KR-9804,Van Field Use," 129,745.00 "," 129,745.00 "," 85,833.93 "," 3,140.00 ", 29.00 , -   , 640.00 ," 2,500.00 ", 51.90 , 57.46 ," 36,774.400 "," 2,740.50 ", -   ," 169,259.90 "," 30,466.78 "," 199,726.68 ", -   , -   , -   ," 85,833.93 "," 4,185.32 ",," (85,833.93)"," (15,450.11)"," (101,284.04)"," 83,425.97 "," 15,016.67 "," 98,442.65 "
Prime,Welikada,31.00,Pool,CAU-7591,Passenger Car," 143,500.00 "," 143,500.00 ",," 4,798.00 ", 78.50 , 6.00 ," 2,298.00 "," 2,500.00 ", 57.40 , 55.00 ," 126,390.000 "," 7,418.25 "," 3,150.00 "," 280,458.25 "," 50,482.49 "," 330,940.74 ", -   , -   , -   , -   ," 4,629.03 ",, -   , -   , -   ," 280,458.25 "," 50,482.49 "," 330,940.74 "
Prime,Welikada,31.00,Pool,CAZ-3165,Passenger Car," 143,500.00 "," 143,500.00 "," 100,825.16 "," 3,819.00 ", 68.00 , -   ," 1,319.00 "," 2,500.00 ", 57.40 , 55.00 ," 72,545.000 "," 6,426.00 ", -   ," 222,471.00 "," 40,044.78 "," 262,515.78 ", 1.00 , -   ," 2,000.00 "," 100,825.16 "," 4,629.03 ",," (102,825.16)"," (18,508.53)"," (121,333.68)"," 119,645.85 "," 21,536.25 "," 141,182.10 "
Prime,Welikada,31.00,Pool,KX-8277,Passenger Car," 143,500.00 "," 143,500.00 "," 85,440.00 "," 3,501.00 ", 75.00 , -   ," 1,001.00 "," 2,500.00 ", 57.40 , 55.00 ," 55,055.000 "," 7,087.50 ", -   ," 205,642.50 "," 37,015.65 "," 242,658.15 ", -   , -   , -   ," 85,440.00 "," 4,629.03 ",," (85,440.00)"," (15,379.20)"," (100,819.20)"," 120,202.50 "," 21,636.45 "," 141,838.95 "
Prime,Welikada,31.00,Pool,CAF-7552,Van Field Use," 129,745.00 "," 129,745.00 "," 85,834.02 "," 3,630.00 ", 43.50 , -   ," 1,130.00 "," 2,500.00 ", 51.90 , 57.46 ," 64,929.800 "," 4,110.75 ", -   ," 198,785.55 "," 35,781.40 "," 234,566.95 ", -   , -   , -   ," 85,834.02 "," 4,185.32 ",," (85,834.02)"," (15,450.12)"," (101,284.14)"," 112,951.53 "," 20,331.28 "," 133,282.81 "
Prime,Welikada,31.00,Pool,CAU-5830,Passenger Car," 143,500.00 "," 143,500.00 "," 85,832.78 "," 4,060.00 ", 98.00 , 1.00 ," 1,560.00 "," 2,500.00 ", 57.40 , 55.00 ," 85,800.000 "," 9,261.00 ", 525.00 ," 239,086.00 "," 43,035.48 "," 282,121.48 ", -   , -   , -   ," 85,832.78 "," 4,629.03 ",," (85,832.78)"," (15,449.90)"," (101,282.69)"," 153,253.22 "," 27,585.58 "," 180,838.79 "
Prime,Welikada,31.00,Pool,CBF-3501,Passenger Car," 143,500.00 "," 143,500.00 "," 85,756.15 "," 2,515.00 ", 23.50 , 1.00 , 15.00 ," 2,500.00 ", 57.40 , 55.00 , 825.000 ," 2,220.75 ", 525.00 ," 147,070.75 "," 26,472.74 "," 173,543.49 ", -   , -   , -   ," 85,756.15 "," 4,629.03 ",," (85,756.15)"," (15,436.11)"," (101,192.26)"," 61,314.60 "," 11,036.63 "," 72,351.23 "
Prime,Welikada,31.00,Pool,CBJ-9817,Passenger Car," 143,500.00 "," 143,500.00 "," 85,832.48 "," 3,219.00 ", 73.50 , -   , 719.00 ," 2,500.00 ", 57.40 , 55.00 ," 39,545.000 "," 6,945.75 ", -   ," 189,990.75 "," 34,198.34 "," 224,189.09 ", -   , -   , -   ," 85,832.48 "," 4,629.03 ",," (85,832.48)"," (15,449.85)"," (101,282.32)"," 104,158.27 "," 18,748.49 "," 122,906.76 "
Prime,Welikada,31.00,Pool,CAK-9887,Passenger Car," 143,500.00 "," 143,500.00 "," 71,517.12 "," 4,565.00 ", 80.50 , 3.00 ," 2,065.00 "," 2,500.00 ", 57.40 , 55.00 ," 113,575.000 "," 7,607.25 "," 1,575.00 "," 266,257.25 "," 47,926.31 "," 314,183.56 ", -   , -   , -   ," 71,517.12 "," 4,629.03 ",," (71,517.12)"," (12,873.08)"," (84,390.21)"," 194,740.13 "," 35,053.22 "," 229,793.35 "
Prime,Welikada,31.00,Transmission Operations,CAP-7454,Self-Driven Passenger Car," 90,000.00 "," 90,000.00 ", -   ," 1,389.00 ", -   , -   ,," 1,389.00 ", 64.79 , 33.50 , -   , -   , -   ," 90,000.00 "," 16,200.00 "," 106,200.00 ", -   , -   , -   , -   ," 2,903.23 ",, -   , -   , -   ," 90,000.00 "," 16,200.00 "," 106,200.00 "
Prime,Welikada,31.00,Transport Maintaince,CBK-9688,Self-Driven Passenger Car," 90,000.00 "," 90,000.00 ", -   ," 1,703.00 ", -   , -   , 203.00 ," 1,500.00 ", 60.00 , 33.50 ," 6,800.500 ", -   , -   ," 96,800.50 "," 17,424.09 "," 114,224.59 ", -   , -   , -   , -   ," 2,903.23 ",, -   , -   , -   ," 96,800.50 "," 17,424.09 "," 114,224.59 "
Prime,Welikada,31.00,Transmission Operations,CAT-1657,Self-Driven Passenger Car," 90,000.00 "," 90,000.00 ", -   ," 1,324.00 ", -   , -   ,," 1,324.00 ", 67.98 , 33.50 , -   , -   , -   ," 90,000.00 "," 16,200.00 "," 106,200.00 ", -   , -   , -   , -   ," 2,903.23 ",, -   , -   , -   ," 90,000.00 "," 16,200.00 "," 106,200.00 "
Prime,Welikada,31.00,Transmission Operations,CAK-4723,Self-Driven Passenger Car," 94,176.00 "," 94,176.00 ", -   ," 1,798.00 ", -   , -   ,," 1,798.00 ", 52.38 , 33.50 , -   , -   , -   ," 94,176.00 "," 16,951.68 "," 111,127.68 ", -   , -   , -   , -   ," 3,037.94 ",, -   , -   , -   ," 94,176.00 "," 16,951.68 "," 111,127.68 "
Prime,Yatiyanthota,31.00,BTS Operation,PA-4740,Passenger Van," 161,955.94 "," 161,955.94 "," 79,310.66 "," 2,765.00 ", 58.00 , -   , 265.00 ," 2,500.00 ", 64.78 , 59.55 ," 15,780.750 "," 4,567.50 ", -   ," 182,304.19 "," 32,814.75 "," 215,118.94 ", -   , -   , -   ," 79,310.66 "," 5,224.39 ",," (79,310.66)"," (14,275.92)"," (93,586.58)"," 102,993.53 "," 18,538.84 "," 121,532.36 "
,,,,,,,,," 203,091.860 ",,,,,,,,,," 14,098,792.80 ",,,," 37,411.00 "," 40,000.00 "," 3,809,570.60 ",,," (3,886,981.60)",,," 10,211,811.19 ",,
,,,,,,,,,,,,,,,,,,,,,,,,," 3,228,449.66 ",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,," (77,411.00)",,,,,
