Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Pumped Fuel , Total KM , OT , Night Out , Excess milage ,,, Excess milage Rate , Excess Amount - 01 , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT ,Days (1), Temper hired vehicle charges , Absent Penalty amount , Fuel Pumped Amount , No pay rate=1 , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Badulla,15.00,RND,GS-6345,Passenger Van," 161,955.94 "," 78,365.78 ", -   ," 1,963.00 ", 13.00 , -   ,," 1,963.00 ", 82.50 , 59.55 , -   ," 1,023.75 ", -   ," 79,389.53 "," 14,290.11 "," 93,679.64 ",,, -   , -   ," 5,224.39 ",, -   , -   , -   ," 79,389.53 "," 14,290.11 "," 93,679.64 "
Prime,Batticalo,31.00,RND,PI-1637,Van Field Use," 129,745.00 "," 129,745.00 "," 52,999.99 "," 1,980.00 ", 61.00 , -   ,," 1,980.00 ", 65.53 , 57.46 , -   ," 5,764.50 ", -   ," 135,509.50 "," 24,391.71 "," 159,901.21 ", -   , -   , -   ," 52,999.99 "," 4,185.32 ",," (52,999.99)"," (9,540.00)"," (62,539.99)"," 82,509.51 "," 14,851.71 "," 97,361.22 "
Prime,Chilaw,16.00,BTS Operation,PF-7285,Passenger Van," 161,000.00 "," 83,096.77 ", -   ," 1,119.00 ", 14.50 , -   , 119.00 ," 1,000.00 ", 161.00 , 78.00 ," 9,282.000 "," 1,370.25 ", -   ," 93,749.02 "," 16,874.82 "," 110,623.85 ", -   , -   , -   , -   ," 5,193.55 ",, -   , -   , -   ," 93,749.02 "," 16,874.82 "," 110,623.85 "
Prime,Colombo,31.00,BTS Operation,PF-3955,Self-Driven 4 X 4 Double cab," 152,000.00 "," 152,000.00 ", -   ," 2,002.00 ", -   , -   ,," 2,002.00 ", 75.92 , 57.75 , -   , -   , -   ," 152,000.00 "," 27,360.00 "," 179,360.00 ", -   , -   , -   , -   ," 4,903.23 ",, -   , -   , -   ," 152,000.00 "," 27,360.00 "," 179,360.00 "
Prime,Colombo,31.00,BTS Operation,CBC-9768,Self-Driven Passenger Car," 94,176.00 "," 94,176.00 ", -   ," 2,070.00 ", -   , -   ,," 2,070.00 ", 45.50 , 33.50 , -   , -   , -   ," 94,176.00 "," 16,951.68 "," 111,127.68 ", -   , -   , -   , -   ," 3,037.94 ",, -   , -   , -   ," 94,176.00 "," 16,951.68 "," 111,127.68 "
Prime,Galle,31.00,BTS Operation,PE-6334,4 X 4 Double cab," 233,000.00 "," 233,000.00 "," 79,442.22 "," 2,645.00 ", 25.00 , -   , 145.00 ," 2,500.00 ", 93.20 , 82.50 ," 11,962.500 "," 2,362.50 ", -   ," 247,325.00 "," 44,518.50 "," 291,843.50 ", -   , -   , -   ," 79,442.22 "," 7,516.13 ",," (79,442.22)"," (14,299.60)"," (93,741.82)"," 167,882.78 "," 30,218.90 "," 198,101.68 "
Prime,Galle,31.00,Projects,CAY-9312,Passenger Car," 143,500.00 "," 143,500.00 "," 66,963.70 "," 3,453.00 ", 76.50 , -   , 953.00 ," 2,500.00 ", 57.40 , 55.00 ," 52,415.000 "," 7,229.25 ", -   ," 203,144.25 "," 36,565.97 "," 239,710.22 ", -   , -   , -   ," 66,963.70 "," 4,629.03 ",," (66,963.70)"," (12,053.47)"," (79,017.17)"," 136,180.55 "," 24,512.50 "," 160,693.05 "
Prime,Galle,31.00,RND,CAO-5836,Passenger Car," 143,500.00 "," 143,500.00 "," 85,305.63 "," 3,776.00 ", 84.00 , -   ," 1,276.00 "," 2,500.00 ", 57.40 , 55.00 ," 70,180.000 "," 7,938.00 ", -   ," 221,618.00 "," 39,891.24 "," 261,509.24 ", -   , -   , -   ," 85,305.63 "," 4,629.03 ",," (85,305.63)"," (15,355.01)"," (100,660.64)"," 136,312.37 "," 24,536.23 "," 160,848.60 "
Prime,Homagama,31.00,BTS Operation,CBE-7499,Passenger Car," 143,500.00 "," 143,500.00 "," 48,042.85 "," 2,222.00 ", 7.00 , -   ,," 2,222.00 ", 64.58 , 55.00 , -   , 661.50 , -   ," 144,161.50 "," 25,949.07 "," 170,110.57 ", -   , -   , -   ," 48,042.85 "," 4,629.03 ",," (48,042.85)"," (8,647.71)"," (56,690.56)"," 96,118.65 "," 17,301.36 "," 113,420.01 "
Prime,Jaffna,31.00,Sites Acquisition,251-2648,Passenger Van," 161,955.94 "," 161,955.94 "," 78,879.09 "," 2,023.00 ", 41.50 , -   ,," 2,023.00 ", 80.06 , 59.55 , -   ," 3,268.13 ", -   ," 165,224.07 "," 29,740.33 "," 194,964.40 ", -   , -   , -   ," 78,879.09 "," 5,224.39 ",," (78,879.09)"," (14,198.24)"," (93,077.32)"," 86,344.98 "," 15,542.10 "," 101,887.08 "
