Supplier,Location,Working days,Division,Vehicle Number,Vehicle Type, Rental , Rental (As per the Working days) , Total KM , OT , Night Out , Excess milage , Excess milage Rate , Excess Amount , OT Amount , Night Out Amount , Total with out VAT , Rental VAT 18% , Total with VAT , Absent  , Temporary  hired vehicle charges , Penalty Amount , No pay rate , No pay Amount , Credit amount with out VAT , Credit VAT Total 18% , Credit amount with VAT , Final Payment with out VAT , Final Payment  VAT 18% , Final Payment with  VAT 
Prime,Ambalangoda,13.00,BTS Operation,PB-5378,4 X 4 Double cab," 229,666.67 "," 96,311.83 "," 1,830.00 ", 77.00 , -   , -   , 81.17 , -   ," 7,276.50 ", -   ," 103,588.33 "," 18,645.90 "," 122,234.23 ", -   , -   , -   ," 7,408.60 ",, -   , -   , -   ," 103,588.33 "," 18,645.90 "," 122,234.23 "
Prime,Ampara,31.00,BTS Operation,PF-2252,24 hrs Passenger Van," 259,080.42 "," 259,080.42 "," 4,566.00 ",, -   ," 2,066.00 ", 83.67 ," 172,862.22 ", -   , -   ," 431,942.64 "," 77,749.68 "," 509,692.32 ", -   , -   , -   ," 8,357.43 ",, -   , -   , -   ," 431,942.64 "," 77,749.68 "," 509,692.32 "
Prime,Ampara,31.00,Power,PC-4191,Passenger Van," 209,080.42 "," 209,080.42 "," 2,745.00 ", 58.50 , -   , 245.00 , 76.67 ," 18,784.15 "," 5,528.25 ", -   ," 233,392.82 "," 42,010.71 "," 275,403.53 ", -   , -   , -   ," 6,744.53 ",, -   , -   , -   ," 233,392.82 "," 42,010.71 "," 275,403.53 "
Prime,A'pura,31.00,BTS Operation,PD-0518,24 hrs Passenger Van," 259,080.42 "," 259,080.42 "," 4,496.00 ",, -   ," 1,996.00 ", 83.67 ," 167,005.32 ", -   , -   ," 426,085.74 "," 76,695.43 "," 502,781.17 ", -   , -   , -   ," 8,357.43 ",, -   , -   , -   ," 426,085.74 "," 76,695.43 "," 502,781.17 "
Prime,A'pura,31.00,Civil,CBC-2132,Passenger Car," 139,500.00 "," 139,500.00 "," 2,251.00 ", 30.00 , -   , -   , 53.40 , -   ," 2,835.00 ", -   ," 142,335.00 "," 25,620.30 "," 167,955.30 ", -   , -   , -   ," 4,500.00 ",, -   , -   , -   ," 142,335.00 "," 25,620.30 "," 167,955.30 "
Prime,A'pura,16.00,Projects,CBJ-5825,Passenger Car," 139,500.00 "," 72,000.00 "," 1,928.00 ", 20.00 , -   , -   , 53.40 , -   ," 1,890.00 ", -   ," 73,890.00 "," 13,300.20 "," 87,190.20 ", -   , -   , -   ," 4,500.00 ",, -   , -   , -   ," 73,890.00 "," 13,300.20 "," 87,190.20 "
Prime,A'pura,31.00,RND,KT-4604,Van Field Use," 125,300.56 "," 125,300.56 "," 3,368.00 ", 76.50 , -   , 868.00 , 55.68 ," 48,330.24 "," 7,229.25 ", -   ," 180,860.05 "," 32,554.81 "," 213,414.86 ", -   , -   , -   ," 4,041.95 ",, -   , -   , -   ," 180,860.05 "," 32,554.81 "," 213,414.86 "
Prime,A'pura,31.00,Sites Acquisition,CBI-5082,Passenger Car," 139,500.00 "," 139,500.00 "," 3,101.00 ", 29.50 , -   , 601.00 , 53.40 ," 32,093.40 "," 2,787.75 ", -   ," 174,381.15 "," 31,388.61 "," 205,769.76 ", -   , -   , -   ," 4,500.00 ",, -   , -   , -   ," 174,381.15 "," 31,388.61 "," 205,769.76 "
Prime,A'pura,31.00,BTS Operation,PF-3301,4 X 4 Double cab," 229,666.67 "," 229,666.67 "," 2,579.22 ", 38.00 , -   , 79.22 , 81.17 ," 6,430.29 "," 3,591.00 ", -   ," 239,687.96 "," 43,143.83 "," 282,831.79 ", -   , -   , -   ," 7,408.60 ",, -   , -   , -   ," 239,687.96 "," 43,143.83 "," 282,831.79 "
Prime,A'pura,31.00,Power,PG-0415,Passenger Van," 209,080.42 "," 209,080.42 "," 2,416.00 ", 71.00 , -   , -   , 76.67 , -   ," 6,709.50 ", -   ," 215,789.92 "," 38,842.19 "," 254,632.11 ", -   , -   , -   ," 6,744.53 ",, -   , -   , -   ," 215,789.92 "," 38,842.19 "," 254,632.11 "
